ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91948,5,2024,R,Y,0,0,0
91950,5,2024,A,Y,0,0,0
91950,5,2024,C,Y,487,5597087,11493
91950,5,2024,I,Y,0,0,0
91950,5,2024,R,Y,2885,820488,284
91962,5,2024,A,Y,0,0,0
91962,5,2024,C,Y,0,0,0
91962,5,2024,I,Y,0,0,0
91962,5,2024,R,Y,0,0,0
91963,5,2024,A,Y,0,0,0
91963,5,2024,C,Y,0,0,0
91963,5,2024,I,Y,0,0,0
91963,5,2024,R,Y,0,0,0
91977,5,2024,A,Y,0,0,0
91977,5,2024,C,Y,0,0,0
91977,5,2024,I,Y,0,0,0
91977,5,2024,R,N,3275,507322,155
91978,5,2024,A,Y,0,0,0
91978,5,2024,C,Y,0,0,0
91978,5,2024,I,Y,0,0,0
91978,5,2024,R,N,576,107853,187
91980,5,2024,A,Y,0,0,0
91980,5,2024,C,Y,0,0,0
91980,5,2024,I,Y,0,0,0
91980,5,2024,R,Y,0,0,0
92003,5,2024,A,Y,0,0,0
92003,5,2024,C,Y,0,0,0
92003,5,2024,I,Y,0,0,0
92003,5,2024,R,N,363,47597,131
92004,5,2024,A,Y,0,0,0
92004,5,2024,C,Y,0,0,0
92004,5,2024,I,Y,0,0,0
92004,5,2024,R,Y,400,53103,133
92007,5,2024,A,Y,0,0,0
92007,5,2024,C,Y,0,0,0
92007,5,2024,I,Y,0,0,0
92007,5,2024,R,N,1164,268210,230
92008,5,2024,A,Y,0,0,0
92008,5,2024,C,Y,0,0,0
92008,5,2024,I,Y,0,0,0
92008,5,2024,R,N,4907,1218072,248
92009,5,2024,A,Y,0,0,0
92009,5,2024,C,N,190,1344898,7078
92009,5,2024,I,Y,0,0,0
92009,5,2024,R,N,4366,982811,225
92010,5,2024,A,Y,0,0,0
92010,5,2024,C,Y,0,0,0
92010,5,2024,I,Y,0,0,0
92010,5,2024,R,N,2417,742021,307
92011,5,2024,A,Y,0,0,0
92011,5,2024,C,N,251,1873417,7464
92011,5,2024,I,Y,0,0,0
92011,5,2024,R,N,2907,725598,250
92014,5,2024,A,Y,0,0,0
92014,5,2024,C,Y,0,0,0
